ImageFile,targ_side,correctAnswer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text.started,text.stopped,dispStimuli.started,dispStimuli.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,breakMessage.started,breakMessage.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
images/exp1a_trial_40_colour2_distractors19_r.png,r,2,0,37,37,40,,,,,,,61.45581110008061,None,2,1,0.6717625996097922,61.45581110008061,None,None,None,None,,None,None,1,001,2020_Oct_09_1136,searchDisc,2020.2.4,59.94309000175281,
images/exp1a_trial_70_colour2_distractors4_r.png,r,2,0,38,38,70,,,,,,,62.206909799948335,None,2,1,0.7288653999567032,62.206909799948335,None,62.96068139979616,None,space,1.200350500177592,64.95150210009888,None,1,001,2020_Oct_09_1136,searchDisc,2020.2.4,59.94309000175281,
images/exp1a_trial_17_colour1_distractors9_l.png,l,1,0,39,39,17,,,,,,,66.20814649993554,None,1,1,0.8712407001294196,66.20814649993554,None,None,None,None,,None,None,1,001,2020_Oct_09_1136,searchDisc,2020.2.4,59.94309000175281,
images/exp1a_trial_47_colour1_distractors1_l.png,l,1,0,40,40,47,,,,,,,67.1633751001209,None,1,1,0.47683650022372603,67.1633751001209,None,None,None,None,,None,None,1,001,2020_Oct_09_1136,searchDisc,2020.2.4,59.94309000175281,
images/exp1a_trial_30_colour0_distractors0_r.png,r,2,0,41,41,30,,,,,,,67.70752910012379,None,2,1,0.5558130000717938,67.70752910012379,None,None,None,None,,None,None,1,001,2020_Oct_09_1136,searchDisc,2020.2.4,59.94309000175281,
images/exp1a_trial_32_colour1_distractors1_r.png,r,2,0,42,42,32,,,,,,,68.34390729991719,None,2,1,0.6804399997927248,68.34390729991719,None,None,None,None,,None,None,1,001,2020_Oct_09_1136,searchDisc,2020.2.4,59.94309000175281,
images/exp1a_trial_85_colour2_distractors4_l.png,l,1,0,43,43,85,,,,,,,69.09939510002732,None,1,1,0.8520817998796701,69.09939510002732,None,None,None,None,,None,None,1,001,2020_Oct_09_1136,searchDisc,2020.2.4,59.94309000175281,
images/exp1a_trial_1_colour1_distractors4_r.png,r,2,0,44,44,1,,,,,,,70.05742450011894,None,2,1,0.6380241001024842,70.05742450011894,None,None,None,None,,None,None,1,001,2020_Oct_09_1136,searchDisc,2020.2.4,59.94309000175281,
images/exp1a_trial_65_colour1_distractors4_r.png,r,2,0,45,45,65,,,,,,,70.77993580000475,None,2,1,0.6753696002997458,70.77993580000475,None,None,None,None,,None,None,1,001,2020_Oct_09_1136,searchDisc,2020.2.4,59.94309000175281,
images/exp1a_trial_71_colour2_distractors9_r.png,r,2,0,46,46,71,,,,,,,71.52934620017186,None,2,1,0.8475387999787927,71.52934620017186,None,None,None,None,,None,None,1,001,2020_Oct_09_1136,searchDisc,2020.2.4,59.94309000175281,
images/exp1a_trial_8_colour2_distractors19_r.png,r,2,0,47,47,8,,,,,,,72.48297580005601,None,2,1,0.7811970999464393,72.48297580005601,None,None,None,None,,None,None,1,001,2020_Oct_09_1136,searchDisc,2020.2.4,59.94309000175281,
images/exp1a_trial_84_colour2_distractors1_l.png,l,1,0,48,48,84,,,,,,,73.36851250007749,None,1,1,0.727740400005132,73.36851250007749,None,None,None,None,,None,None,1,001,2020_Oct_09_1136,searchDisc,2020.2.4,59.94309000175281,
images/exp1a_trial_31_colour0_distractors0_l.png,l,1,0,49,49,31,,,,,,,74.19407160021365,None,1,1,0.5813842001371086,74.19407160021365,None,None,None,None,,None,None,1,001,2020_Oct_09_1136,searchDisc,2020.2.4,59.94309000175281,
images/exp1a_trial_11_colour3_distractors4_r.png,r,2,0,50,50,11,,,,,,,74.85120420018211,None,2,1,0.6844442002475262,74.85120420018211,None,None,None,None,,None,None,1,001,2020_Oct_09_1136,searchDisc,2020.2.4,59.94309000175281,
images/exp1a_trial_9_colour2_distractors31_r.png,r,2,0,51,51,9,,,,,,,75.61270229984075,None,2,1,0.7630752003751695,75.61270229984075,None,None,None,None,,None,None,1,001,2020_Oct_09_1136,searchDisc,2020.2.4,59.94309000175281,
images/exp1a_trial_64_colour1_distractors1_r.png,r,2,0,52,52,64,,,,,,,76.44267470017076,None,2,1,0.9415910998359323,76.44267470017076,None,None,None,None,,None,None,1,001,2020_Oct_09_1136,searchDisc,2020.2.4,59.94309000175281,
images/exp1a_trial_62_colour0_distractors0_r.png,r,2,0,53,53,62,,,,,,,77.50552779994905,None,2,1,0.5981899998150766,77.50552779994905,None,None,None,None,,None,None,1,001,2020_Oct_09_1136,searchDisc,2020.2.4,59.94309000175281,
images/exp1a_trial_4_colour1_distractors31_r.png,r,2,0,54,54,4,,,,,,,78.18693549977615,None,2,1,0.588470600079745,78.18693549977615,None,None,None,None,,None,None,1,001,2020_Oct_09_1136,searchDisc,2020.2.4,59.94309000175281,
images/exp1a_trial_12_colour3_distractors9_r.png,r,2,0,55,55,12,,,,,,,78.8835605001077,None,2,1,0.6199562000110745,78.8835605001077,None,None,None,None,,None,None,1,001,2020_Oct_09_1136,searchDisc,2020.2.4,59.94309000175281,
images/exp1a_trial_66_colour1_distractors9_r.png,r,2,0,56,56,66,,,,,,,79.60050729988143,None,2,1,0.4959118999540806,79.60050729988143,None,None,None,None,,None,None,1,001,2020_Oct_09_1136,searchDisc,2020.2.4,59.94309000175281,
images/exp1a_trial_23_colour2_distractors19_l.png,l,1,0,57,57,23,,,,,,,80.17769649997354,None,1,1,0.597849499899894,80.17769649997354,None,80.81824839999899,None,space,3.6851025000214577,82.8025270998478,None,1,001,2020_Oct_09_1136,searchDisc,2020.2.4,59.94309000175281,
images/exp1a_trial_73_colour2_distractors31_r.png,r,2,0,58,58,73,,,,,,,86.55717960000038,None,2,1,1.1305794999934733,86.55717960000038,None,None,None,None,,None,None,1,001,2020_Oct_09_1136,searchDisc,2020.2.4,59.94309000175281,
images/exp1a_trial_76_colour3_distractors9_r.png,r,2,0,59,59,76,,,,,,,87.76286419993266,None,2,1,0.6928097000345588,87.76286419993266,None,None,None,None,,None,None,1,001,2020_Oct_09_1136,searchDisc,2020.2.4,59.94309000175281,
