ImageFile,targ_side,correctAnswer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,dispStimuli.started,dispStimuli.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,breakMessage.started,breakMessage.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,8.358791122969706,None,space,7.813398395373952,13.33050358784385,None,,,,,,,,,,,,,,2,001,2020_Oct_13_1217,searchDisc,2020.2.2,59.865404088897265,
images/exp1a_trial_93_colour3_distractors31_l.png,l,1,0,0,0,93,,,,,,,21.28815404465422,None,1,1,1.2715653295745142,21.28815404465422,None,22.656157920486294,None,space,1.7278410734725185,22.656157920486294,None,2,001,2020_Oct_13_1217,searchDisc,2020.2.2,59.865404088897265,
images/exp1a_trial_81_colour1_distractors9_l.png,l,1,0,1,1,81,,,,,,,24.491240044881124,None,2,0,0.5245873940875754,24.491240044881124,None,None,None,None,,None,None,2,001,2020_Oct_13_1217,searchDisc,2020.2.2,59.865404088897265,
images/exp1a_trial_60_colour3_distractors19_l.png,l,1,0,2,2,60,,,,,,,25.141966953116935,None,1,1,0.36984898638911545,25.141966953116935,None,None,None,None,,None,None,2,001,2020_Oct_13_1217,searchDisc,2020.2.2,59.865404088897265,
images/exp1a_trial_87_colour2_distractors19_l.png,l,1,0,3,3,87,,,,,,,25.64240087091457,None,2,0,0.22964426421094686,25.64240087091457,None,None,None,None,,None,None,2,001,2020_Oct_13_1217,searchDisc,2020.2.2,59.865404088897265,
images/exp1a_trial_73_colour2_distractors31_r.png,r,2,0,4,4,73,,,,,,,25.992831716721412,None,1,0,0.29482089047087356,25.992831716721412,None,None,None,None,,None,None,2,001,2020_Oct_13_1217,searchDisc,2020.2.2,59.865404088897265,
images/exp1a_trial_68_colour1_distractors31_r.png,r,2,0,5,5,68,,,,,,,26.409858061524574,None,2,1,0.2858049366623163,26.409858061524574,None,None,None,None,,None,None,2,001,2020_Oct_13_1217,searchDisc,2020.2.2,59.865404088897265,
images/exp1a_trial_14_colour3_distractors31_r.png,r,2,0,6,6,14,,,,,,,26.826987445820123,None,1,0,0.2606546654715203,26.826987445820123,None,None,None,None,,None,None,2,001,2020_Oct_13_1217,searchDisc,2020.2.2,59.865404088897265,
images/exp1a_trial_89_colour3_distractors1_l.png,l,1,0,7,7,89,,,,,,,27.21061684162123,None,2,0,0.2691000622580759,27.21061684162123,None,None,None,None,,None,None,2,001,2020_Oct_13_1217,searchDisc,2020.2.2,59.865404088897265,
images/exp1a_trial_79_colour1_distractors1_l.png,l,1,0,8,8,79,,,,,,,27.627655986405443,None,1,1,0.2044405532651581,27.627655986405443,None,None,None,None,,None,None,2,001,2020_Oct_13_1217,searchDisc,2020.2.2,59.865404088897265,
images/exp1a_trial_76_colour3_distractors9_r.png,r,2,0,9,9,76,,,,,,,27.961300998111255,None,2,1,0.20647318282863125,27.961300998111255,None,None,None,None,,None,None,2,001,2020_Oct_13_1217,searchDisc,2020.2.2,59.865404088897265,
images/exp1a_trial_46_colour3_distractors31_r.png,r,2,0,10,10,46,,,,,,,28.295106009056326,None,1,0,0.22467212966876104,28.295106009056326,None,None,None,None,,None,None,2,001,2020_Oct_13_1217,searchDisc,2020.2.2,59.865404088897265,
images/exp1a_trial_29_colour3_distractors31_l.png,l,1,0,11,11,29,,,,,,,28.64530229603406,None,2,0,0.22640652081463486,28.64530229603406,None,None,None,None,,None,None,2,001,2020_Oct_13_1217,searchDisc,2020.2.2,59.865404088897265,
