ImageFile,targ_side,correctAnswer,n,image.started_mean,image.started_raw,image.started_std,image.stopped_raw,key_resp_4.corr_mean,key_resp_4.corr_raw,key_resp_4.corr_std,key_resp_4.keys_raw,key_resp_4.rt_mean,key_resp_4.rt_raw,key_resp_4.rt_std,key_resp_4.started_mean,key_resp_4.started_raw,key_resp_4.started_std,key_resp_4.stopped_raw,text_4.started_mean,text_4.started_raw,text_4.started_std,text_4.stopped_raw,order
Practice arrays/exp1a_trial_25_colour2_distractors4_l.png,l,1,1.0,36.29063034057617,36.29063034057617,0.0,,1.0,1.0,0.0,'1',0.9087653756141663,0.9087653756141663,0.0,36.29063034057617,36.29063034057617,0.0,,37.2252082824707,37.2252082824707,0.0,,14.0
Practice arrays/exp1a_trial_28_colour2_distractors31_l.png,l,1,1.0,13.384775161743164,13.384775161743164,0.0,,0.0,0.0,0.0,'2',0.638573408126831,0.638573408126831,0.0,13.384775161743164,13.384775161743164,0.0,,14.085787773132324,14.085787773132324,0.0,,2.0
Practice arrays/exp1a_trial_29_colour2_distractors43_l.png,l,1,1.0,40.07773208618164,40.07773208618164,0.0,,1.0,1.0,0.0,'1',0.7937394976615906,0.7937394976615906,0.0,40.07773208618164,40.07773208618164,0.0,,40.89545822143555,40.89545822143555,0.0,,16.0
Practice arrays/exp1a_trial_32_colour3_distractors9_l.png,l,1,1.0,19.05723762512207,19.05723762512207,0.0,,1.0,1.0,0.0,'1',0.7982197999954224,0.7982197999954224,0.0,19.05723762512207,19.05723762512207,0.0,,19.87462043762207,19.87462043762207,0.0,,5.0
Practice arrays/exp1a_trial_33_colour3_distractors19_l.png,l,1,1.0,22.660558700561523,22.660558700561523,0.0,,1.0,1.0,0.0,'1',0.7947350144386292,0.7947350144386292,0.0,22.660558700561523,22.660558700561523,0.0,,23.47825050354004,23.47825050354004,0.0,,7.0
Practice arrays/exp1a_trial_35_colour3_distractors43_l.png,l,1,1.0,45.549766540527344,45.549766540527344,0.0,,1.0,1.0,0.0,'1',0.8336499929428101,0.8336499929428101,0.0,45.549766540527344,45.549766540527344,0.0,,46.40074157714844,46.40074157714844,0.0,,19.0
Practice arrays/exp1a_trial_36_colour0_distractors0_r.png,r,2,1.0,8.830387115478516,8.830387115478516,0.0,,1.0,1.0,0.0,'2',1.5609050989151,1.5609050989151,0.0,8.830387115478516,8.830387115478516,0.0,,10.448776245117188,10.448776245117188,0.0,,0.0
Practice arrays/exp1a_trial_37_colour0_distractors0_l.png,l,1,1.0,24.56245231628418,24.56245231628418,0.0,,1.0,1.0,0.0,'1',0.6688669919967651,0.6688669919967651,0.0,24.56245231628418,24.56245231628418,0.0,,25.263338088989258,25.263338088989258,0.0,,8.0

extraInfo
participant,
session,001
date,2020_Dec_17_1340
expName,searchDisc3
psychopyVersion,2020.2.2
frameRate,59.916539161841484
