ImageFile,targ_side,correctAnswer,exp,trial,colour,distNo,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,X Scale,Y Scale,text_top.started,text_top.stopped,text_bottom.started,text_bottom.stopped,ccimage.started,ccimage.stopped,text_6.started,text_6.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,text_7.started,text_7.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.started,key_resp_11.stopped,text_8.started,text_8.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.started,key_resp_12.stopped,text_9.started,text_9.stopped,key_resp_13.keys,key_resp_13.rt,key_resp_13.started,key_resp_13.stopped,text_2.started,text_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_3.started,text_3.stopped,image_3.started,image_3.stopped,fix.started,fix.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,image.started,image.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_4.started,text_4.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,fix2experiment.started,fix2experiment.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,dispStimuli.started,dispStimuli.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,breakMessage.started,breakMessage.stopped,key_resp.keys,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Practice arrays/exp1a_trial_31_colour0_distractors0_l.png,l,f,,,,,0,3,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.777432799804956,None,space,0.327058200025931,23.777432799804956,None,24.168230099836364,None,f,1,0.4813722998369485,24.168230099836364,None,24.6606645998545,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Oct_05_1735,searchDisc4,2021.1.2,59.88425569372022,
Practice arrays/exp1a_trial_27_colour3_distractors9_l.png,l,f,,,,,0,4,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.66128179989755,None,space,0.299911999842152,25.66128179989755,None,26.015123599907383,None,f,1,0.45712010003626347,26.015123599907383,None,26.494710499886423,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Oct_05_1735,searchDisc4,2021.1.2,59.88425569372022,
Practice arrays/exp1a_trial_21_colour2_distractors4_l.png,l,f,,,,,0,5,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.494998099980876,None,space,0.3056801001075655,27.494998099980876,None,27.86750269983895,None,f,1,0.4204224001150578,27.86750269983895,None,28.31225089984946,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Oct_05_1735,searchDisc4,2021.1.2,59.88425569372022,
Practice arrays/exp1a_trial_25_colour3_distractors1_l.png,l,f,,,,,0,6,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.31247159978375,None,space,0.3283453001640737,29.31247159978375,None,29.69911229982972,None,f,1,0.5411904999054968,29.69911229982972,None,30.262650899821892,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Oct_05_1735,searchDisc4,2021.1.2,59.88425569372022,
Practice arrays/exp1a_trial_12_colour3_distractors9_r.png,r,j,,,,,0,7,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.262667399831116,None,space,0.31361870002001524,31.262667399831116,None,31.642853299854323,None,j,1,0.5979895000346005,31.642853299854323,None,32.263082299847156,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Oct_05_1735,searchDisc4,2021.1.2,59.88425569372022,
Practice arrays/exp1a_trial_30_colour0_distractors0_r.png,r,j,,,,,0,8,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.26312469993718,None,space,0.3132279999554157,33.26312469993718,None,33.64220659993589,None,j,1,0.5178221000824124,33.64220659993589,None,34.18003659998067,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Oct_05_1735,searchDisc4,2021.1.2,59.88425569372022,
Practice arrays/exp1a_trial_1_colour1_distractors4_r.png,r,j,,,,,0,9,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.18022599979304,None,space,0.3325724999886006,35.18022599979304,None,35.56493359990418,None,j,1,0.6693675999995321,35.56493359990418,None,36.24732599989511,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Oct_05_1735,searchDisc4,2021.1.2,59.88425569372022,
Practice arrays/exp1a_trial_23_colour2_distractors19_l.png,l,f,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.24749799980782,None,space,0.33699709991924465,37.24749799980782,None,37.65064139990136,None,f,1,0.6938523000571877,37.65064139990136,None,38.36451159999706,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Oct_05_1735,searchDisc4,2021.1.2,59.88425569372022,
Practice arrays/exp1a_trial_18_colour1_distractors19_l.png,l,f,,,,,0,11,11,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.36472909990698,None,space,0.30751740001142025,39.36472909990698,None,39.74018399999477,None,f,1,0.683667799923569,39.74018399999477,None,40.44861169997603,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Oct_05_1735,searchDisc4,2021.1.2,59.88425569372022,
Practice arrays/exp1a_trial_14_colour3_distractors31_r.png,r,j,,,,,0,12,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.44887339998968,None,space,0.3281366000883281,41.44887339998968,None,41.84451839979738,None,j,1,0.5415519999805838,41.84451839979738,None,42.39903709990904,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Oct_05_1735,searchDisc4,2021.1.2,59.88425569372022,
Practice arrays/exp1a_trial_0_colour1_distractors1_r.png,r,j,,,,,0,13,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.39928889996372,None,space,0.3143307000864297,43.39928889996372,None,43.778205199865624,None,j,1,0.5663681998848915,43.778205199865624,None,44.36570889991708,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Oct_05_1735,searchDisc4,2021.1.2,59.88425569372022,
Practice arrays/exp1a_trial_10_colour3_distractors1_r.png,r,j,,,,,0,14,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.36675759986974,None,space,0.5451834998093545,45.36675759986974,None,45.96848589996807,None,j,1,0.6241152000147849,45.96848589996807,None,46.61664079991169,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Oct_05_1735,searchDisc4,2021.1.2,59.88425569372022,
Practice arrays/exp1a_trial_7_colour2_distractors9_r.png,r,j,,,,,0,15,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.617017599986866,None,space,0.3356376998126507,47.617017599986866,None,48.023532499792054,None,j,1,0.4814585999120027,48.023532499792054,None,48.51707409997471,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Oct_05_1735,searchDisc4,2021.1.2,59.88425569372022,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.59648949978873,None,space,0.006649199873209,52.58528129989281,None,,,,,,,,,,,,,,,,,,,,001,2021_Oct_05_1735,searchDisc4,2021.1.2,59.88425569372022,
images/exp1b_trial_119_colour2_distractors19_l.png,l,f,1b,119,2,19,,,,,0,0,0,356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.96491699991748,None,space,0.23593329987488687,52.96491699991748,None,53.28906699991785,None,f,1,0.6329777000937611,53.28906699991785,None,53.95591239994391,None,None,53.95591239994391,None,,001,2021_Oct_05_1735,searchDisc4,2021.1.2,59.88425569372022,
images/exp1b_trial_73_colour2_distractors31_r.png,r,j,1b,73,2,31,,,,,0,1,1,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.9575276998803,None,space,0.7380800999235362,53.9575276998803,None,54.77060609986074,None,j,1,0.719040900003165,54.77060609986074,None,55.50644329988863,None,None,55.50644329988863,None,,001,2021_Oct_05_1735,searchDisc4,2021.1.2,59.88425569372022,
images/exp2a_trial_113_colour1_distractors9_l.png,l,f,2a,113,1,9,,,,,0,2,2,542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.5120167999994,None,space,0.6145621000323445,55.5120167999994,None,56.21532569988631,None,f,1,0.512594899861142,56.21532569988631,None,56.75666399982292,None,None,56.75666399982292,None,,001,2021_Oct_05_1735,searchDisc4,2021.1.2,59.88425569372022,
images/exp1a_trial_1_colour1_distractors4_r.png,r,j,1a,1,1,4,,,,,0,3,3,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.76129569998011,None,space,0.7572417999617755,56.76129569998011,None,57.60245259990916,None,j,1,0.5346763001289219,57.60245259990916,None,58.15673969995696,None,None,58.15673969995696,None,,001,2021_Oct_05_1735,searchDisc4,2021.1.2,59.88425569372022,
images/exp1a_trial_61_colour3_distractors31_l.png,l,f,1a,61,3,31,,,,,0,4,4,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.16448279982433,None,space,0.6902044999878854,58.16448279982433,None,58.93661059997976,None,f,1,0.6233469999860972,58.93661059997976,None,59.590931099909355,None,None,59.590931099909355,None,,001,2021_Oct_05_1735,searchDisc4,2021.1.2,59.88425569372022,
images/exp2b_trial_185_colour3_distractors1_l.png,l,f,2b,185,3,1,,,,,0,5,5,806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.59853109996766,None,space,0.6010068000759929,59.59853109996766,None,60.255513299955055,None,f,1,0.4810385999735445,60.255513299955055,None,60.757445799955164,None,None,60.757445799955164,None,,001,2021_Oct_05_1735,searchDisc4,2021.1.2,59.88425569372022,
images/exp1b_trial_68_colour1_distractors31_r.png,r,j,1b,68,1,31,,,,,0,6,6,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.76432039984502,None,space,0.5703934000339359,60.76432039984502,None,61.395247999811545,None,j,1,0.8849267999175936,61.395247999811545,None,62.30817459996324,None,None,62.30817459996324,None,,001,2021_Oct_05_1735,searchDisc4,2021.1.2,59.88425569372022,
images/exp1a_trial_16_colour1_distractors4_l.png,l,f,1a,16,1,4,,,,,0,7,7,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.31337219988927,None,space,0.4938829999882728,62.31337219988927,None,62.87436079978943,None,f,1,0.5358478000853211,62.87436079978943,None,63.425272399862294,None,None,63.425272399862294,None,,001,2021_Oct_05_1735,searchDisc4,2021.1.2,59.88425569372022,
