ImageFile,targ_side,correctAnswer,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_2.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,image_2.started,image_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_3.started,text_3.stopped,image_3.started,image_3.stopped,fix.started,fix.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,image.started,image.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_4.started,text_4.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,fix2experiment.started,fix2experiment.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,dispStimuli.started,dispStimuli.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,breakMessage.started,breakMessage.stopped,key_resp.keys,key_resp.started,key_resp.stopped,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.76501394546358,None,space,0.3418906966689974,108.76828623615438,None,,,,,,,,,,,,,,,,,,,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Images/exp2c_trial_50_colour3_distractors1_r.png,r,2,,,,,0,0,0,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.21892699840828,None,space,1.2431418214400765,109.21892699840828,None,110.5697376151511,None,2,1,0.7163078218873125,110.5697376151511,None,111.37074899808795,None,None,111.37074899808795,None,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Images/exp2b_trial_74_colour0_distractors0_r.png,r,2,,,,,0,1,1,492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.38735876925057,None,space,1.0727203084388748,111.38735876925057,None,112.57174399716314,None,2,1,0.5783148182963487,112.57174399716314,None,113.20584109966585,None,None,113.20584109966585,None,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Images/exp1b_trial_60_colour1_distractors31_l.png,l,1,,,,,0,2,2,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.22250424636877,None,space,0.8296680861676577,113.22250424636877,None,114.15675699544954,None,1,1,1.0572641268954612,114.15675699544954,None,115.27466864295711,None,None,115.27466864295711,None,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Images/exp1b_trial_93_colour3_distractors43_r.png,r,2,,,,,0,3,3,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.29141210895614,None,space,1.1289031650230754,115.29141210895614,None,116.52569320978364,None,2,1,1.8882816409750376,116.52569320978364,None,118.4777625032264,None,None,118.4777625032264,None,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Images/exp2a_trial_58_colour1_distractors9_l.png,l,1,,,,,0,4,4,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.49436997043085,None,space,1.0540375958080404,118.49436997043085,None,119.66224014633917,None,1,1,0.6479401144606527,119.66224014633917,None,120.36295201195462,None,None,120.36295201195462,None,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Images/exp2b_trial_106_colour3_distractors1_l.png,l,1,,,,,0,5,5,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.3797127577709,None,space,1.1212126739264932,120.3797127577709,None,121.61392985918792,None,1,1,0.6400813048530836,121.61392985918792,None,122.31478988346934,None,None,122.31478988346934,None,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Images/exp1b_trial_5_colour1_distractors43_r.png,r,2,,,,,0,6,6,426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.31488101865398,None,space,1.5451343155873474,122.31488101865398,None,123.96626910223858,None,2,1,0.6477612360613421,123.96626910223858,None,124.66723280559818,None,None,124.66723280559818,None,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Images/exp1a_trial_55_colour3_distractors43_r.png,r,2,,,,,0,7,7,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.6670669830637,None,space,1.4889280992210843,124.6670669830637,None,126.28518624472781,None,2,1,0.688841187977232,126.28518624472781,None,127.03621797947271,None,None,127.03621797947271,None,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Images/exp1a_trial_94_colour1_distractors1_l.png,l,1,,,,,0,8,8,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.03603071716498,None,space,0.9603869149286766,127.03603071716498,None,128.10387906924007,None,1,1,0.718242524570087,128.10387906924007,None,128.87131897697398,None,None,128.87131897697398,None,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Images/exp2c_trial_17_colour3_distractors43_r.png,r,2,,,,,0,9,9,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.8880602029676,None,space,1.1959800040058326,128.8880602029676,None,130.18902678630548,None,2,1,0.6249822401732672,130.18902678630548,None,130.9232356958033,None,None,130.9232356958033,None,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Images/exp1a_trial_34_colour3_distractors31_l.png,l,1,,,,,0,10,10,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.92320324809407,None,space,0.9935197380546015,130.92320324809407,None,132.04087867372436,None,1,1,0.9091512140294071,132.04087867372436,None,133.0088956642983,None,None,133.0088956642983,None,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Images/exp1b_trial_70_colour3_distractors9_l.png,l,1,,,,,0,11,11,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.0088610406092,None,space,0.6511013661220204,133.0088610406092,None,133.77601352692,None,1,1,1.3820311370072886,133.77601352692,None,135.210797215256,None,None,135.210797215256,None,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Images/exp1b_trial_3_colour1_distractors19_r.png,r,2,,,,,0,12,12,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.21079843124608,None,space,0.721281217323849,135.21079843124608,None,136.04478391874,None,2,1,0.7533222102501895,136.04478391874,None,136.86238881697935,None,None,136.86238881697935,None,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Images/exp1a_trial_97_colour1_distractors19_l.png,l,1,,,,,0,13,13,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.86243483258295,None,space,1.093698680459056,136.86243483258295,None,138.0801288820512,None,1,1,0.7978427713387646,138.0801288820512,None,138.93112804108821,None,None,138.93112804108821,None,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Images/exp2b_trial_59_colour1_distractors19_l.png,l,1,,,,,0,14,14,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.93123037618352,None,space,0.8888102762575727,138.93123037618352,None,139.9486311802757,None,1,1,0.7055363983963616,139.9486311802757,None,140.71631236583633,None,None,140.71631236583633,None,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Images/exp2a_trial_75_colour0_distractors0_l.png,l,1,,,,,0,15,15,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.7161849429831,None,space,0.8887606766948011,140.7161849429831,None,141.7338715045189,None,1,1,0.6400515451387037,141.7338715045189,None,142.43464224959897,None,None,142.43464224959897,None,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Images/exp2b_trial_27_colour2_distractors19_l.png,l,1,,,,,0,16,16,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.45138795557432,None,space,1.096568414766807,142.45138795557432,None,143.65227255562786,None,1,1,0.6178031044837553,143.65227255562786,None,144.31982119838065,None,None,144.31982119838065,None,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Images/exp2a_trial_89_colour3_distractors4_r.png,r,2,,,,,0,17,17,393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.31983841423062,None,space,0.9161114716262091,144.31983841423062,None,145.3372536181996,None,2,1,0.8206777667219285,145.3372536181996,None,146.22158111861498,None,None,146.22158111861498,None,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Images/exp1a_trial_52_colour3_distractors9_r.png,r,2,,,,,0,18,18,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.22160857438575,None,space,0.9590736466925591,146.22160857438575,None,147.28914812923176,None,2,1,0.8288232937338762,147.28914812923176,None,148.19028712701984,None,None,148.19028712701984,None,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Images/exp2b_trial_96_colour1_distractors9_l.png,l,1,,,,,0,19,19,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.19029141499777,None,space,0.8216345581458881,148.19029141499777,None,149.12429328632425,None,1,1,0.7137177650874946,149.12429328632425,None,149.89190343254884,None,None,149.89190343254884,None,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Images/exp2a_trial_16_colour3_distractors31_r.png,r,2,,,,,0,20,20,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.90857457916718,None,space,1.0074434533016756,149.90857457916718,None,151.04281433636788,None,2,1,0.8111876117473003,151.04281433636788,None,151.91066550442773,None,None,151.91066550442773,None,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Images/exp2b_trial_20_colour1_distractors9_l.png,l,1,,,,,0,21,21,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.9105080018344,None,space,0.9578378177830018,151.9105080018344,None,152.97803795678192,None,1,1,0.5159537770668976,152.97803795678192,None,153.54545181675056,None,None,153.54545181675056,None,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Images/exp2c_trial_29_colour2_distractors43_l.png,l,1,,,,,0,22,22,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.54554967186414,None,space,0.9469236755685415,153.54554967186414,None,154.5964736955939,None,1,1,0.6255345552053768,154.5964736955939,None,155.29735048773583,None,None,155.29735048773583,None,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Images/exp1b_trial_8_colour2_distractors9_r.png,r,2,,,,,0,23,23,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.29719573713373,None,space,1.010978461621562,155.29719573713373,None,156.4147943634307,None,2,1,0.5752361258782912,156.4147943634307,None,157.04894010547721,None,None,157.04894010547721,None,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Images/exp2a_trial_107_colour3_distractors4_l.png,l,1,,,,,0,24,24,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.04906292038504,None,space,1.003246050910093,157.04906292038504,None,158.1665809074184,None,1,1,0.6152770471235272,158.1665809074184,None,158.83407995063752,None,None,158.83407995063752,None,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Images/exp1b_trial_4_colour1_distractors31_r.png,r,2,,,,,0,25,25,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.83405076689087,None,space,1.0020057420188095,158.83405076689087,None,159.95160171363386,None,2,1,0.6143468154477887,159.95160171363386,None,160.6191890760645,None,None,160.6191890760645,None,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Images/exp2c_trial_38_colour1_distractors1_r.png,r,2,,,,,0,26,26,526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.6191973319801,None,space,0.9855476494994946,160.6191973319801,None,161.71998042898485,None,2,1,0.5098223120148759,161.71998042898485,None,162.28735364929597,None,None,162.28735364929597,None,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Images/exp2c_trial_25_colour2_distractors4_l.png,l,1,,,,,0,27,27,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.28724542626878,None,space,1.037536943651503,162.28724542626878,None,163.43836183226085,None,1,1,0.6315831410174724,163.43836183226085,None,164.12276760398234,None,None,164.12276760398234,None,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Images/exp2b_trial_33_colour3_distractors19_l.png,l,1,,,,,0,28,28,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.12270130059915,None,space,0.9776110806269571,164.12270130059915,None,165.22362039636937,None,1,1,0.7502758375485428,165.22362039636937,None,166.02440624532463,None,None,166.02440624532463,None,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Images/exp2b_trial_57_colour1_distractors4_l.png,l,1,,,,,0,29,29,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.02453162020538,None,space,1.379340601124568,166.02453162020538,None,167.50902231916552,None,1,1,0.5608324149507098,167.50902231916552,None,168.12653173025754,None,None,168.12653173025754,None,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Images/exp1b_trial_110_colour3_distractors31_l.png,l,1,,,,,0,30,30,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.14329023612663,None,space,1.1889557469403371,168.14329023612663,None,169.44449937727768,None,1,1,1.545481192501029,169.44449937727768,None,171.04610365090483,None,None,171.04610365090483,None,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Images/exp2b_trial_46_colour2_distractors9_r.png,r,2,,,,,0,31,31,479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.04615606644074,None,space,0.8704498007718939,171.04615606644074,None,172.03020580936573,None,2,1,0.935895294387592,172.03020580936573,None,173.0146975323121,None,None,173.0146975323121,None,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Images/exp2c_trial_11_colour2_distractors43_r.png,r,2,,,,,0,32,32,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.01454098970862,None,space,0.9261337818170432,173.01454098970862,None,174.04877812293125,None,2,1,0.5890974416979589,174.04877812293125,None,174.69964435518776,None,None,174.69964435518776,None,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Images/exp1a_trial_103_colour2_distractors19_l.png,l,1,,,,,0,33,33,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.71622846258106,None,space,0.9122398263134528,174.71622846258106,None,175.73374574564514,None,1,1,0.8402193516376428,175.73374574564514,None,176.6348260559578,None,None,176.6348260559578,None,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
Images/exp2a_trial_70_colour3_distractors9_l.png,l,1,,,,,0,34,34,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.63471271298476,None,space,0.9852513321384322,176.63471271298476,None,177.73575084767072,None,1,1,0.5181351975188591,177.73575084767072,None,178.3030872683419,None,None,178.3030872683419,None,,,001,2021_Jan_05_0955,searchDisc3,2020.2.2,59.95223048767103,
