ImageFile,targ_side,correctAnswer,n,image.started_raw,image.stopped_raw,key_resp_4.corr_mean,key_resp_4.corr_raw,key_resp_4.corr_std,key_resp_4.keys_raw,key_resp_4.rt_mean,key_resp_4.rt_raw,key_resp_4.rt_std,key_resp_4.started_raw,key_resp_4.stopped_raw,key_resp_7.keys_raw,key_resp_7.rt_mean,key_resp_7.rt_raw,key_resp_7.rt_std,key_resp_7.started_raw,key_resp_7.stopped_raw,text_4.started_raw,text_4.stopped_raw,order
images/exp1a_trial_60_colour3_distractors19_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,271.0
images/exp1a_trial_61_colour3_distractors31_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,258.0
images/exp1a_trial_62_colour0_distractors0_r.png,r,2,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,324.0
images/exp1a_trial_63_colour0_distractors0_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,326.0
images/exp1a_trial_64_colour1_distractors1_r.png,r,2,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,447.0
images/exp1a_trial_65_colour1_distractors4_r.png,r,2,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,438.0
images/exp1a_trial_66_colour1_distractors9_r.png,r,2,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,176.0
images/exp1a_trial_67_colour1_distractors19_r.png,r,2,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,464.0
images/exp1a_trial_68_colour1_distractors31_r.png,r,2,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,55.0
images/exp1a_trial_69_colour2_distractors1_r.png,r,2,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,52.0
images/exp1a_trial_70_colour2_distractors4_r.png,r,2,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,241.0
images/exp1a_trial_71_colour2_distractors9_r.png,r,2,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,124.0
images/exp1a_trial_72_colour2_distractors19_r.png,r,2,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,295.0
images/exp1a_trial_73_colour2_distractors31_r.png,r,2,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,250.0
images/exp1a_trial_74_colour3_distractors1_r.png,r,2,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,187.0
images/exp1a_trial_75_colour3_distractors4_r.png,r,2,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,34.0
images/exp1a_trial_76_colour3_distractors9_r.png,r,2,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,450.0
images/exp1a_trial_77_colour3_distractors19_r.png,r,2,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,262.0
images/exp1a_trial_78_colour3_distractors31_r.png,r,2,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,94.0
images/exp1a_trial_79_colour1_distractors1_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,134.0
images/exp1a_trial_80_colour1_distractors4_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,431.0
images/exp1a_trial_81_colour1_distractors9_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,150.0
images/exp1a_trial_82_colour1_distractors19_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,423.0
images/exp1a_trial_83_colour1_distractors31_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,230.0
images/exp1a_trial_84_colour2_distractors1_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,409.0
images/exp1a_trial_85_colour2_distractors4_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,459.0
images/exp1a_trial_86_colour2_distractors9_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,27.0
images/exp1a_trial_87_colour2_distractors19_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,432.0
images/exp1a_trial_88_colour2_distractors31_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,200.0
images/exp1a_trial_89_colour3_distractors1_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,473.0
images/exp1a_trial_90_colour3_distractors4_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,164.0
images/exp1a_trial_91_colour3_distractors9_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,214.0
images/exp1a_trial_92_colour3_distractors19_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,335.0
images/exp1a_trial_93_colour3_distractors31_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,204.0
images/exp1a_trial_94_colour0_distractors0_r.png,r,2,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,67.0
images/exp1a_trial_95_colour0_distractors0_l.png,l,1,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,446.0
images/exp1b_trial_0_colour1_distractors1_r.png,r,2,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,183.0
images/exp1b_trial_1_colour1_distractors4_r.png,r,2,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,228.0
images/exp1b_trial_2_colour1_distractors9_r.png,r,2,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,424.0
images/exp1b_trial_3_colour1_distractors19_r.png,r,2,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,47.0
images/exp1b_trial_4_colour1_distractors31_r.png,r,2,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,167.0
